movieId           movieTitle         movieRatings        movieDuration     MovieReleaseDate
1                    Toy Story            FALSE           81              1995           
10                   Thinner              FALSE           92              1996           
12                   The Doors            FALSE           140             1991           
6                    The Big Lebowski     FALSE           117             1998           
9                    Spy Hard             FALSE           81              1996           
11                   Sleeper              FALSE           89              1996           
15                   Siblings             FALSE           85              2004           
7                    Phantoms             FALSE           91              1998           
5                    Miller's Crossing    FALSE           115             1990           
13                   Liar Liar            FALSE           86              1997           
3                    Jumanji              FALSE           104             1995           
8                    Hellraiser:Bloodline FALSE           86              1996           
2                    Four Rooms           FALSE           98              1995           
4                    Fargo                FALSE           98              1996           
16                   Creep                FALSE           85              2014           
18                   Click                FALSE           107             2006           
14                   Chinese Box          FALSE           99              1997           
17                   Brides               FALSE           128             2004           
